tconst,primaryTitle,titleLength,numVotes,logVotes,averageRating
tt0035423,Kate & Leopold,3,78674,4.895831231442367,6.4
tt0081145,Me and the Kid,4,244,2.387389826338729,5.4
tt0088751,The Naked Monster,3,274,2.437750562820388,5.4
tt0095840,Payback,1,53,1.724275869600789,4.6
tt0095878,Pledge Night,2,624,2.795184589682424,4.8
tt0096075,Sexpot,1,39,1.591064607026499,5.6
tt0096154,Spies Inc.,2,92,1.9637878273455553,4.2
tt0096845,Atlantic Rhapsody - 52 myndir úr Tórshavn,7,49,1.6901960800285136,6.3
tt0096875,Catchfire,1,3378,3.5286596452349897,5.4
tt0097106,A Tale of Springtime,4,3685,3.56643749219507,7.3
tt0097176,Deceit,1,684,2.835056101720116,4.7
tt0097365,Flesh Gordon Meets the Cosmic Cheerleaders,6,1402,3.14674801363064,3.6
tt0097405,Fathers' Day,2,104,2.0170333392987803,4.6
tt0097516,Hollywood Boulevard II,3,80,1.9030899869919435,5.2
tt0097550,I Bought a Vampire Motorcycle,5,1027,3.0115704435972783,5.6
tt0097638,Happy Ghost 4,3,139,2.143014800254095,5.8
tt0097766,Lo que le pasó a Santiago,6,210,2.322219294733919,7.0
tt0097884,May Fools,2,2821,3.450403086155366,7.3
tt0097994,Nobody's Perfect,2,580,2.7634279935629373,5.7
tt0098136,Prom Night III: The Last Kiss,6,1942,3.288249225571986,4.7
tt0098211,Cyber-C.H.I.C.,1,233,2.367355921026019,2.3
tt0098344,Skinned Alive,2,466,2.66838591669,3.4
tt0098532,The Match Factory Girl,4,8908,3.9497802083620006,7.6
tt0098961,Les 1001 nuits,3,860,2.934498451243568,5.5
tt0098965,Little Ninjas,2,698,2.843855422623161,2.0
tt0098966,Three Men and a Little Lady,6,22688,4.355796213502972,5.5
tt0098967,Boiling Point,2,6064,3.782759192623997,6.8
tt0098987,The Adventures of Ford Fairlane,5,17101,4.2330215069876935,6.5
tt0098998,The Age of Insects,4,31,1.4913616938342726,5.0
tt0099005,Air America,2,26857,4.429057499166248,5.8
tt0099012,Alice,1,13322,4.12456942932084,6.6
tt0099014,All the Vermeers in New York,6,466,2.66838591669,6.7
tt0099017,Alligator Eyes,2,133,2.123851640967086,4.0
tt0099018,Almost an Angel,3,4079,3.6105537053170944,5.6
tt0099026,The Ambulance,2,3092,3.4902394852462875,5.9
tt0099044,Another 48 Hrs.,3,38141,4.581392075411313,5.9
tt0099052,Arachnophobia,1,62878,4.798498719373948,6.4
tt0099088,Back to the Future Part III,6,402997,5.605301813167673,7.4
tt0099095,Bail Jumper,2,42,1.6232492903979006,6.6
tt0099097,Bakenbardy,1,360,2.5563025007672873,7.3
tt0099108,Basket Case 2,3,4413,3.6447339274471924,5.4
tt0099125,Best Shots,2,9,0.9542425094393249,5.0
tt0099128,Betsy's Wedding,2,3376,3.5284024379536176,5.6
tt0099141,Bird on a Wire,4,39873,4.600678912723612,6.0
tt0099153,Blood Salvage,2,453,2.656098202012832,5.0
tt0099165,The Bonfire of the Vanities,5,21603,4.334514065640564,5.6
tt0099166,Book of Love,3,1035,3.0149403497929366,6.2
tt0099167,Boom Boom,2,201,2.303196057420489,6.2
tt0099178,Breakfast in Bed,3,81,1.9084850188786497,3.9
tt0099180,Bride of Re-Animator,3,13827,4.140727962844183,6.3
tt0099194,Buster's Bedroom,2,119,2.0755469613925306,5.5
tt0099204,Cadillac Man,2,13298,4.123786328615372,5.7
tt0099261,Chinatown Connection,2,48,1.6812412373755872,4.9
tt0099266,My Mother's Castle,3,4770,3.678518379040114,7.6
tt0099271,Circuitry Man,2,793,2.8992731873176036,4.7
tt0099272,City Hunter: Bay City Wars,5,241,2.3820170425748683,7.1
tt0099280,Club Fed,2,265,2.423245873936808,3.5
tt0099286,Cold Dog Soup,3,447,2.6503075231319366,5.6
tt0099295,Complex World,2,123,2.089905111439398,4.9
tt0099305,Corporate Affairs,2,208,2.3180633349627615,4.2
tt0099310,Coupe de Ville,3,2259,3.353916230920363,6.7
tt0099316,Crazy People,2,4120,3.6148972160331345,6.1
tt0099329,Cry-Baby,1,54906,4.73961980573443,6.5
tt0099334,Cyrano de Bergerac,3,22408,4.350403095815512,7.5
tt0099342,Daddy's Dyin'... Who's Got the Will?,6,735,2.8662873390841948,5.7
tt0099374,Dead Men Don't Die,4,252,2.401400540781544,4.1
tt0099415,Blackest Heart,2,698,2.843855422623161,5.2
tt0099422,Dick Tracy,2,57390,4.758836224746958,6.1
tt0099428,Diggin' Up Business,3,24,1.380211241711606,4.6
tt0099429,Heart,1,4885,3.688864568054792,6.7
tt0099437,Disha,1,138,2.1398790864012365,7.0
tt0099450,The Boyfriend School,3,2493,3.3967222785037734,5.9
tt0099459,Down the Drain,3,167,2.2227164711475833,3.8
tt0099460,Downtown,1,1751,3.243286146083446,5.8
tt0099462,Dream Machine,2,731,2.8639173769578603,5.3
tt0099463,Dream Trap,2,255,2.406540180433955,6.2
tt0099472,DuckTales the Movie: Treasure of the Lost Lamp,8,24879,4.3958329201019835,6.9
tt0099480,Eating,1,260,2.4149733479708178,6.0
tt0099495,"Elliot Fauman, Ph.D.",3,14,1.146128035678238,2.4
tt0099506,Enid Is Sleeping,3,415,2.6180480967120925,5.6
tt0099512,Ernest Goes to Jail,4,8853,3.947090464219622,5.4
tt0099524,Evil Toons,2,2400,3.380211241711606,3.9
tt0099545,Fantozzi alla riscossa,3,1338,3.1264561134318045,5.8
tt0099546,Far Out Man,3,1010,3.0043213737826426,5.1
tt0099556,Fate,1,50,1.6989700043360187,2.9
tt0099558,Operation Condor,2,18644,4.270539094260548,7.3
tt0099581,Flashback,1,4979,3.6971421262754594,6.3
tt0099611,Frankenhooker,1,8851,3.9469923407483725,6.2
tt0099613,Harry and Harriet,3,175,2.2430380486862944,3.3
tt0099615,The Freshman,2,18644,4.270539094260548,6.4
tt0099623,Funny About Love,3,1269,3.103461622094705,5.0
tt0099625,Future Zone,2,445,2.6483600109809315,3.7
tt0099636,Gate 2: The Trespassers,4,1966,3.2935835134961167,4.8
tt0099637,A Cat in the Brain,5,3005,3.4778444763387584,5.7
tt0099648,Getting Lucky,2,372,2.5705429398818973,4.1
tt0099654,Ghost Dad,2,7411,3.8698768132667665,4.4
tt0099659,The Girl I Want,4,71,1.8512583487190752,6.8
tt0099675,Going Under,2,663,2.821513528404773,3.4
tt0099677,The Golden Boat,3,91,1.9590413923210936,6.8
tt0099681,"Good Girl, Bad Girl",4,26,1.414973347970818,5.5
tt0099699,Green Card,2,22417,4.350577491817281,6.2
tt0099700,Gremlins 2: The New Batch,5,92776,4.967435644154115,6.4
tt0099715,De gulle minnaar,3,437,2.640481436970422,3.9
tt0099718,The Gumshoe Kid,3,48,1.6812412373755872,5.4
tt0099750,Heart Condition,2,3240,3.510545010206612,5.6
tt0099782,Hollywood Heartbreak,2,23,1.3617278360175928,6.7
tt0099783,Hollywood Hot Tubs 2: Educating Crystal,6,127,2.103803720955957,3.8
tt0099785,Home Alone,2,477849,5.679290681492758,7.6
tt0099800,House Party,2,13033,4.115044395258413,6.4
tt0099818,I Hired a Contract Killer,5,5765,3.7607993116307177,7.2
tt0099819,I Love You to Death,5,13383,4.126553477961279,6.4
tt0099831,The Imported Bridegroom,3,16,1.2041199826559248,6.9
tt0099841,In the Spirit,3,285,2.45484486000851,5.4
tt0099856,The Invisible Maniac,3,1116,3.04766419460156,3.9
tt0099857,Iron & Silk,3,422,2.625312450961674,6.9
tt0099878,Jetsons: The Movie,3,4735,3.675319983339292,5.6
tt0099880,Haunted Jail House,3,72,1.8573324964312685,5.9
tt0099892,Joe Versus the Volcano,4,34411,4.536697293608185,5.8
tt0099908,Just Like in the Movies,5,13,1.1139433523068367,7.3
tt0099935,Killer Tomatoes Strike Back!,4,1405,3.1476763242410986,3.7
tt0099938,Kindergarten Cop,2,135752,5.132746236659156,6.2
tt0099954,Krokodillen in Amsterdam,3,15,1.1760912590556813,6.9
tt0100007,Lethal Angels 2,3,28,1.4471580313422192,5.8
tt0100024,Life Is Sweet,3,9070,3.957607287060095,7.5
tt0100036,Little Vegas,2,93,1.968482948553935,5.4
tt0100050,Look Who's Talking Too,4,44295,4.64635470602076,4.7
tt0100053,Loose Cannons,2,4424,3.645815118296642,4.9
tt0100065,Love at Large,3,1144,3.058426024457005,5.7
tt0100067,Love or Money,3,75,1.8750612633917,4.4
tt0100087,Madhouse,1,2878,3.4590907896005865,5.5
tt0100100,A Man Called Sarge,4,292,2.4653828514484184,4.9
tt0100101,A Man Called... Rainbo,4,182,2.2600713879850747,4.9
tt0100112,The Hairdresser's Husband,3,9004,3.9544354863284825,7.2
tt0100119,Masters of Menace,3,513,2.7101173651118162,5.4
tt0100122,A Matter of Degrees,4,76,1.8808135922807914,5.1
tt0100129,Meet the Applegates,3,2178,3.3380578754197563,5.5
tt0100134,Men Don't Leave,3,2351,3.3712526291249394,6.6
tt0100135,Men at Work,3,22665,4.355355723394706,6.0
tt0100140,Mermaids,1,28540,4.455453968778628,6.7
tt0100142,Metropolitan,1,9617,3.983039616046102,7.4
tt0100143,Miami Blues,2,7706,3.886829004676982,6.4
tt0100159,Missing Parents,2,30,1.4771212547196624,4.1
tt0100171,Modern Love,2,202,2.305351369446624,5.3
tt0100172,Mom,1,615,2.788875115775417,5.2
tt0100201,Mr. Destiny,2,11518,4.061377074193888,6.4
tt0100212,My Blue Heaven,3,18623,4.270049643267161,6.3
tt0100239,Never Leave Nevada,3,11,1.0413926851582251,7.1
tt0100275,The Wandering Soap Opera,4,267,2.4265112613645754,6.6
tt0100280,Nuns on the Run,4,7585,3.879955585122749,6.0
tt0100284,Oddball Hall,2,68,1.8325089127062364,3.9
tt0100301,Opportunity Knocks,2,2848,3.4545399849648186,6.1
